# Kiwix English ZIM best/latest files - v20260402l
# Generated: 2026-04-02 17:38:15
# Total files: 568
# Total size: 1.09 TiB
# Format: filename|size_human|size_bytes|url|torrent_url

bioinformatics.stackexchange.com_en_all_2026-02.zim|55.00 MiB|57671680|https://download.kiwix.org/zim/stack_exchange/bioinformatics.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/bioinformatics.stackexchange.com_en_all_2026-02.zim.torrent
biology.stackexchange.com_en_all_2026-02.zim|403.00 MiB|422576128|https://download.kiwix.org/zim/stack_exchange/biology.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/biology.stackexchange.com_en_all_2026-02.zim.torrent
biologycourses_en_all_2026-03.zim|190.00 MiB|199229440|https://download.kiwix.org/zim/videos/biologycourses_en_all_2026-03.zim|https://download.kiwix.org/zim/videos/biologycourses_en_all_2026-03.zim.torrent
bitcoin.stackexchange.com_en_all_2026-02.zim|149.00 MiB|156237824|https://download.kiwix.org/zim/stack_exchange/bitcoin.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/bitcoin.stackexchange.com_en_all_2026-02.zim.torrent
bitcoin_en_all_maxi_2021-03.zim|17.00 MiB|17825792|https://download.kiwix.org/zim/other/bitcoin_en_all_maxi_2021-03.zim|https://download.kiwix.org/zim/other/bitcoin_en_all_maxi_2021-03.zim.torrent
blender.stackexchange.com_en_all_2026-02.zim|2.60 GiB|2791728742|https://download.kiwix.org/zim/stack_exchange/blender.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/blender.stackexchange.com_en_all_2026-02.zim.torrent
boardgames.stackexchange.com_en_all_2026-02.zim|102.00 MiB|106954752|https://download.kiwix.org/zim/stack_exchange/boardgames.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/boardgames.stackexchange.com_en_all_2026-02.zim.torrent
bogleheads_en_all_maxi_2025-11.zim|10.00 MiB|10485760|https://download.kiwix.org/zim/other/bogleheads_en_all_maxi_2025-11.zim|https://download.kiwix.org/zim/other/bogleheads_en_all_maxi_2025-11.zim.torrent
booksdash_en_all_2024-06.zim|11.00 GiB|11811160064|https://download.kiwix.org/zim/zimit/booksdash_en_all_2024-06.zim|https://download.kiwix.org/zim/zimit/booksdash_en_all_2024-06.zim.torrent
bricks.stackexchange.com_en_all_2026-02.zim|146.00 MiB|153092096|https://download.kiwix.org/zim/stack_exchange/bricks.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/bricks.stackexchange.com_en_all_2026-02.zim.torrent
buddhism.stackexchange.com_en_all_2026-02.zim|78.00 MiB|81788928|https://download.kiwix.org/zim/stack_exchange/buddhism.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/buddhism.stackexchange.com_en_all_2026-02.zim.torrent
bulbagarden_en_all_maxi_2026-02.zim|2.80 GiB|3006477107|https://download.kiwix.org/zim/other/bulbagarden_en_all_maxi_2026-02.zim|https://download.kiwix.org/zim/other/bulbagarden_en_all_maxi_2026-02.zim.torrent
canadian_prepper_bugoutconcepts_en_2026-02.zim|2.70 GiB|2899102924|https://download.kiwix.org/zim/videos/canadian_prepper_bugoutconcepts_en_2026-02.zim|https://download.kiwix.org/zim/videos/canadian_prepper_bugoutconcepts_en_2026-02.zim.torrent
